TOPS        PRESSURE   Group Index   Group Description     
416.50000   39.99968   2             31.Jan 2022 - 00:00:00
417.00000   39.99989   2             31.Jan 2022 - 00:00:00
417.50000   40.00010   2             31.Jan 2022 - 00:00:00
418.00000   40.00031   2             31.Jan 2022 - 00:00:00
418.50000   40.00053   2             31.Jan 2022 - 00:00:00
419.00000   40.00075   2             31.Jan 2022 - 00:00:00
419.50000   40.00097   2             31.Jan 2022 - 00:00:00
420.00000   40.00119   2             31.Jan 2022 - 00:00:00
420.50000   40.00142   2             31.Jan 2022 - 00:00:00
421.00000   40.00165   2             31.Jan 2022 - 00:00:00
421.50000   40.00189   2             31.Jan 2022 - 00:00:00
422.00000   40.00212   2             31.Jan 2022 - 00:00:00
422.50000   40.00237   2             31.Jan 2022 - 00:00:00
423.00000   40.00261   2             31.Jan 2022 - 00:00:00
423.50000   40.00286   2             31.Jan 2022 - 00:00:00
424.00000   40.00311   2             31.Jan 2022 - 00:00:00
424.50000   40.00337   2             31.Jan 2022 - 00:00:00
425.00000   40.00363   2             31.Jan 2022 - 00:00:00
425.50000   40.00389   2             31.Jan 2022 - 00:00:00
426.00000   40.00416   2             31.Jan 2022 - 00:00:00
426.50000   40.00444   2             31.Jan 2022 - 00:00:00
427.00000   40.00471   2             31.Jan 2022 - 00:00:00
427.50000   40.00500   2             31.Jan 2022 - 00:00:00
428.00000   40.00529   2             31.Jan 2022 - 00:00:00
428.50000   40.00558   2             31.Jan 2022 - 00:00:00
429.00000   40.00588   2             31.Jan 2022 - 00:00:00
429.50000   40.00619   2             31.Jan 2022 - 00:00:00
430.00000   40.00650   2             31.Jan 2022 - 00:00:00
430.50000   40.00682   2             31.Jan 2022 - 00:00:00
431.00000   40.00714   2             31.Jan 2022 - 00:00:00
431.50000   40.00747   2             31.Jan 2022 - 00:00:00
432.00000   40.00781   2             31.Jan 2022 - 00:00:00
432.50000   40.00816   2             31.Jan 2022 - 00:00:00
433.00000   40.00851   2             31.Jan 2022 - 00:00:00
433.50000   40.00887   2             31.Jan 2022 - 00:00:00
434.00000   40.00924   2             31.Jan 2022 - 00:00:00
434.50000   40.00962   2             31.Jan 2022 - 00:00:00
435.00000   40.01001   2             31.Jan 2022 - 00:00:00
435.50000   40.01040   2             31.Jan 2022 - 00:00:00
436.00000   40.01081   2             31.Jan 2022 - 00:00:00
436.50000   40.01122   2             31.Jan 2022 - 00:00:00
437.00000   40.01165   2             31.Jan 2022 - 00:00:00
437.50000   40.01208   2             31.Jan 2022 - 00:00:00
438.00000   40.01252   2             31.Jan 2022 - 00:00:00
